record_no,index,seed,fundamental_freq,fundamental_amp,fundamental_phase,overtone_freqs,overtone_amps,overtone_phases,full_tone_adsr,full_tone_hold,full_tone_sustain_hold,chorus_delay,chorus_depth,chorus_rate,chorus_wet_level,filename,vanilla,chorus
1,0,5,466.1637615180899,0.75,0.0,"[932.3275230361799, 1398.49128455427, 1864.6550460723597, 2330.8188075904495, 2796.98256910854]","[0.2, 0.05, 0.35000000000000003, 0.35000000000000003, 0.9500000000000001]","[4.71238898038469, 0.5235987755982988, 4.71238898038469, 2.0943951023931953, 2.0943951023931953]","[300, 20, 1000, 250, 400]",0.8,250,0,0,0,0,VNL_0_5_466.wav,1,0
2,0,5,466.1637615180899,0.75,0.0,"[932.3275230361799, 1398.49128455427, 1864.6550460723597, 2330.8188075904495, 2796.98256910854]","[0.2, 0.05, 0.35000000000000003, 0.35000000000000003, 0.9500000000000001]","[4.71238898038469, 0.5235987755982988, 4.71238898038469, 2.0943951023931953, 2.0943951023931953]","[300, 20, 1000, 250, 400]",0.8,250,20,7,3,0.5,CHR_0_5_466.wav,0,1
3,1,11,1864.6550460723597,0.2,3.665191429188092,"[3729.3100921447194, 5593.96513821708, 7458.620184289439, 9323.275230361798, 11187.93027643416]","[0.5, 0.35000000000000003, 0.7000000000000001, 0.9, 0.7000000000000001]","[1.0471975511965976, 2.617993877991494, 4.71238898038469, 0.0, 4.1887902047863905]","[300, 20, 1500, 150, 0]",0.4,150,0,0,0,0,VNL_1_11_1865.wav,1,0
4,1,11,1864.6550460723597,0.2,3.665191429188092,"[3729.3100921447194, 5593.96513821708, 7458.620184289439, 9323.275230361798, 11187.93027643416]","[0.5, 0.35000000000000003, 0.7000000000000001, 0.9, 0.7000000000000001]","[1.0471975511965976, 2.617993877991494, 4.71238898038469, 0.0, 4.1887902047863905]","[300, 20, 1500, 150, 0]",0.4,150,1,3,4,0.5,CHR_1_11_1865.wav,0,1
5,2,17,880.0,0.5,5.235987755982988,"[1760.0, 2640.0, 3520.0, 4400.0, 5280.0]","[0.4, 0.15000000000000002, 0.30000000000000004, 0.55, 0.8]","[2.0943951023931953, 4.71238898038469, 0.0, 3.665191429188092, 3.141592653589793]","[1200, 20, 400, 20, 20]",0.6,20,0,0,0,0,VNL_2_17_880.wav,1,0
6,2,17,880.0,0.5,5.235987755982988,"[1760.0, 2640.0, 3520.0, 4400.0, 5280.0]","[0.4, 0.15000000000000002, 0.30000000000000004, 0.55, 0.8]","[2.0943951023931953, 4.71238898038469, 0.0, 3.665191429188092, 3.141592653589793]","[1200, 20, 400, 20, 20]",0.6,20,3,7,1,0.5,CHR_2_17_880.wav,0,1
7,3,23,103.82617439498628,0.25,5.235987755982988,"[207.65234878997256, 311.4785231849588, 415.3046975799451, 519.1308719749314, 622.9570463699176]","[0.05, 0.2, 0.25, 0.2, 0.45]","[4.1887902047863905, 2.0943951023931953, 3.141592653589793, 1.5707963267948966, 0.5235987755982988]","[1000, 40, 400, 20, 300]",0.6,20,0,0,0,0,VNL_3_23_104.wav,1,0
8,3,23,103.82617439498628,0.25,5.235987755982988,"[207.65234878997256, 311.4785231849588, 415.3046975799451, 519.1308719749314, 622.9570463699176]","[0.05, 0.2, 0.25, 0.2, 0.45]","[4.1887902047863905, 2.0943951023931953, 3.141592653589793, 1.5707963267948966, 0.5235987755982988]","[1000, 40, 400, 20, 300]",0.6,20,4,4,4,0.5,CHR_3_23_104.wav,0,1
9,4,29,466.1637615180899,0.35,1.5707963267948966,"[932.3275230361799, 1398.49128455427, 1864.6550460723597, 2330.8188075904495, 2796.98256910854]","[0.6000000000000001, 0.30000000000000004, 0.75, 0.15000000000000002, 0.8500000000000001]","[0.0, 5.235987755982988, 5.759586531581287, 5.759586531581287, 0.5235987755982988]","[100, 20, 1500, 150, 50]",0.5,150,0,0,0,0,VNL_4_29_466.wav,1,0
10,4,29,466.1637615180899,0.35,1.5707963267948966,"[932.3275230361799, 1398.49128455427, 1864.6550460723597, 2330.8188075904495, 2796.98256910854]","[0.6000000000000001, 0.30000000000000004, 0.75, 0.15000000000000002, 0.8500000000000001]","[0.0, 5.235987755982988, 5.759586531581287, 5.759586531581287, 0.5235987755982988]","[100, 20, 1500, 150, 50]",0.5,150,3,2,2,0.5,CHR_4_29_466.wav,0,1
11,5,35,1479.9776908465376,0.55,4.71238898038469,"[2959.955381693075, 4439.933072539613, 5919.91076338615, 7399.888454232688, 8879.866145079226]","[0.0, 0.1, 0.9, 0.8, 0.8500000000000001]","[3.665191429188092, 1.5707963267948966, 1.0471975511965976, 2.617993877991494, 2.617993877991494]","[0, 40, 20, 250, 1500]",0.8,250,0,0,0,0,VNL_5_35_1480.wav,1,0
12,5,35,1479.9776908465376,0.55,4.71238898038469,"[2959.955381693075, 4439.933072539613, 5919.91076338615, 7399.888454232688, 8879.866145079226]","[0.0, 0.1, 0.9, 0.8, 0.8500000000000001]","[3.665191429188092, 1.5707963267948966, 1.0471975511965976, 2.617993877991494, 2.617993877991494]","[0, 40, 20, 250, 1500]",0.8,250,4,5,1,0.5,CHR_5_35_1480.wav,0,1
13,6,41,311.1269837220809,0.15000000000000002,0.0,"[622.2539674441618, 933.3809511662428, 1244.5079348883237, 1555.6349186104046, 1866.7619023324855]","[0.9500000000000001, 0.65, 0.30000000000000004, 0.7000000000000001, 0.6000000000000001]","[0.5235987755982988, 3.141592653589793, 2.0943951023931953, 4.71238898038469, 2.617993877991494]","[400, 0, 500, 150, 500]",0.4,150,0,0,0,0,VNL_6_41_311.wav,1,0
14,6,41,311.1269837220809,0.15000000000000002,0.0,"[622.2539674441618, 933.3809511662428, 1244.5079348883237, 1555.6349186104046, 1866.7619023324855]","[0.9500000000000001, 0.65, 0.30000000000000004, 0.7000000000000001, 0.6000000000000001]","[0.5235987755982988, 3.141592653589793, 2.0943951023931953, 4.71238898038469, 2.617993877991494]","[400, 0, 500, 150, 500]",0.4,150,1,9,2,0.5,CHR_6_41_311.wav,0,1
15,7,47,2959.955381693075,0.25,0.0,"[5919.91076338615, 8879.866145079226, 11839.8215267723, 14799.776908465376, 17759.732290158452]","[0.05, 0.65, 0.4, 0.1, 0.55]","[2.0943951023931953, 4.1887902047863905, 3.141592653589793, 3.141592653589793, 0.5235987755982988]","[300, 40, 1000, 300, 300]",0.5,300,0,0,0,0,VNL_7_47_2960.wav,1,0
16,7,47,2959.955381693075,0.25,0.0,"[5919.91076338615, 8879.866145079226, 11839.8215267723, 14799.776908465376, 17759.732290158452]","[0.05, 0.65, 0.4, 0.1, 0.55]","[2.0943951023931953, 4.1887902047863905, 3.141592653589793, 3.141592653589793, 0.5235987755982988]","[300, 40, 1000, 300, 300]",0.5,300,4,3,1,0.5,CHR_7_47_2960.wav,0,1
17,8,53,1567.981743926997,0.6,1.0471975511965976,"[3135.963487853994, 4703.945231780991, 6271.926975707988, 7839.908719634986, 9407.890463561982]","[0.1, 0.75, 0.35000000000000003, 0.4, 0.9500000000000001]","[2.617993877991494, 2.0943951023931953, 4.1887902047863905, 0.0, 1.5707963267948966]","[1200, 40, 200, 20, 300]",0.8,20,0,0,0,0,VNL_8_53_1568.wav,1,0
18,8,53,1567.981743926997,0.6,1.0471975511965976,"[3135.963487853994, 4703.945231780991, 6271.926975707988, 7839.908719634986, 9407.890463561982]","[0.1, 0.75, 0.35000000000000003, 0.4, 0.9500000000000001]","[2.617993877991494, 2.0943951023931953, 4.1887902047863905, 0.0, 1.5707963267948966]","[1200, 40, 200, 20, 300]",0.8,20,5,9,2,0.5,CHR_8_53_1568.wav,0,1
19,9,59,73.41619197935188,0.8,4.1887902047863905,"[146.83238395870376, 220.24857593805564, 293.6647679174075, 367.0809598967594, 440.4971518761113]","[0.1, 0.8500000000000001, 0.05, 0.9, 0.35000000000000003]","[1.5707963267948966, 0.0, 2.617993877991494, 1.5707963267948966, 0.5235987755982988]","[400, 20, 300, 250, 1000]",0.7,250,0,0,0,0,VNL_9_59_73.wav,1,0
20,9,59,73.41619197935188,0.8,4.1887902047863905,"[146.83238395870376, 220.24857593805564, 293.6647679174075, 367.0809598967594, 440.4971518761113]","[0.1, 0.8500000000000001, 0.05, 0.9, 0.35000000000000003]","[1.5707963267948966, 0.0, 2.617993877991494, 1.5707963267948966, 0.5235987755982988]","[400, 20, 300, 250, 1000]",0.7,250,20,7,2,0.5,CHR_9_59_73.wav,0,1
21,10,65,261.6255653005986,0.55,4.71238898038469,"[523.2511306011972, 784.8766959017959, 1046.5022612023945, 1308.1278265029932, 1569.7533918035917]","[0.75, 0.9, 0.7000000000000001, 0.75, 0.65]","[1.0471975511965976, 1.0471975511965976, 3.665191429188092, 0.5235987755982988, 2.0943951023931953]","[100, 20, 0, 250, 1500]",0.6,250,0,0,0,0,VNL_10_65_262.wav,1,0
22,10,65,261.6255653005986,0.55,4.71238898038469,"[523.2511306011972, 784.8766959017959, 1046.5022612023945, 1308.1278265029932, 1569.7533918035917]","[0.75, 0.9, 0.7000000000000001, 0.75, 0.65]","[1.0471975511965976, 1.0471975511965976, 3.665191429188092, 0.5235987755982988, 2.0943951023931953]","[100, 20, 0, 250, 1500]",0.6,250,4,8,4,0.5,CHR_10_65_262.wav,0,1
